,Memo,Subcategory,month,Amount
116,BOOTS,PAYMENT,5,-25.07
117,BOOTS,PAYMENT,8,-5.68
118,BOOTS,PAYMENT,9,-17.08
119,BOOTS 1132,PAYMENT,5,-16.01
120,BOOTS 1132,PAYMENT,6,-7.0
121,BOOTS 1315,PAYMENT,1,-1.3
122,BOOTS 1315,PAYMENT,3,-3.25
123,BOOTS 1533,PAYMENT,4,-7.24
124,BOOTS 1533,PAYMENT,8,-6.4
125,BOOTS 1568,PAYMENT,1,-1.83
126,BOOTS 1987,PAYMENT,3,-20.0
127,BOOTS 1987,PAYMENT,4,-15.88
128,BOOTS 1987,PAYMENT,9,-6.41
129,BOOTS 2118,PAYMENT,1,-6.98
130,BOOTS 2118,PAYMENT,4,-0.65
131,BOOTS 877,PAYMENT,8,-1.89
132,BOOTS-1680,PAYMENT,8,-2.0
133,BOOTS-1680,PAYMENT,9,-7.0
134,BP HILLSIDE,PAYMENT,1,-125.29
135,BP HILLSIDE,PAYMENT,2,-65.83
136,BP HILLSIDE,PAYMENT,3,-81.03999999999999
137,BP HILLSIDE,PAYMENT,4,-7.43
138,BP HILLSIDE,PAYMENT,6,-93.80000000000001
139,BP HILLSIDE,PAYMENT,7,-86.1
140,BP HILLSIDE,PAYMENT,8,-78.52
141,BP HILLSIDE,PAYMENT,9,-23.209999999999997
142,BP RUSHETT,PAYMENT,3,-2.78
143,BRENDAN MURPHY TAX    IRELAND,PAYMENT,7,-22.13
144,BRITANNIA PARKING,PAYMENT,7,-1.0
145,BRITISH HEART FOUN,PAYMENT,6,-8.24
146,BRITISH HEART FOUN,PAYMENT,7,-4.49
147,BUBBLEOLOGY,PAYMENT,8,-8.18
148,BUBBLES CAR WASH,PAYMENT,8,-19.5
149,BUBBLEWRAP WAFFLE,PAYMENT,9,-6.99
150,BUCKINGHAMSHIRE,PAYMENT,4,-4.5
151,BUCKLEBURY FARM PA,PAYMENT,8,-60.0
152,BURGER KING,PAYMENT,1,-2.49
153,BURGER KING,PAYMENT,7,-22.43
154,BURGER KING1801107,PAYMENT,8,-6.19
155,BUTLERS CHOCOLATES    IRELAND,PAYMENT,7,-9.26
156,Belfry Shopping Ce,PAYMENT,2,-1.0
157,Belfry Shopping Ce,PAYMENT,5,-1.7
158,Belfry Shopping Ce,PAYMENT,7,-3.4
159,Belfry Shopping Ce,PAYMENT,9,-1.0
160,C BREWER &amp; SONS,PAYMENT,7,-29.83
161,CAB CALL,PAYMENT,1,-12.0
162,CABOT CIRCUS CAR P,PAYMENT,7,-6.3
163,CAFE CWTCH,PAYMENT,8,-7.8
164,CAFFE KIX,PAYMENT,7,-7.65
165,CAFFE NERO 17 CLAP,PAYMENT,4,-2.25
166,CAFFE NERO EDINBUR,PAYMENT,8,-3.0
167,CARMONA TAPAS&amp; GRI,PAYMENT,3,-22.0
168,CARMONA TAPAS&amp; GRI,PAYMENT,4,-66.17
169,CARRBRIDGE HOTEL,PAYMENT,8,-7.1
170,CARRBRIDGE KITCHEN,PAYMENT,8,-15.95
171,CDKEYS.COM,PAYMENT,8,-25.98
172,CENTER PARCS,PAYMENT,2,-499.0
173,CENTER PARCS,PAYMENT,3,-343.84
174,CHALK HILLS BAKERY,PAYMENT,3,-6.4
175,CHALK HILLS BAKERY,PAYMENT,6,-8.7
176,CHALK HILLS BAKERY,PAYMENT,7,-5.2
177,CHAPTERS CAFE,PAYMENT,2,-2.3
178,CHAPTERS CAFE,PAYMENT,3,-4.7
179,CHARLES TYRWHITT,PAYMENT,2,-119.0
180,CHARTWELL,PAYMENT,2,-15.4
181,CHESSINGTON GARDEN,PAYMENT,6,-4.6
182,CHIEVELEY COSTA,PAYMENT,5,-19.29
183,CHIEVELEY WH SMITH,PAYMENT,5,-1.99
184,CHILLI AND SPICE,PAYMENT,6,-35.0
185,CINEWORLD,PAYMENT,7,-42.8
186,CLAIRE&#039;S ACCESSORI,PAYMENT,1,-5.0
187,CLAIRE&#039;S ACCESSORI,PAYMENT,7,-34.5
188,CLAIRE&#039;S ACCESSORI,PAYMENT,9,-10.0
189,CLAS OHLSON,PAYMENT,6,-16.36
190,CMT UK,PAYMENT,7,-14.6
191,CO-OP GROUP 020101,PAYMENT,8,-7.25
192,CO-OP GROUP 310439,PAYMENT,6,-5.15
193,CO-OP GROUP FOOD,PAYMENT,4,-3.4
194,CO-OP GROUP FOOD,PAYMENT,7,-11.4
195,CO-OP GROUP FOOD,PAYMENT,9,-0.9
196,COFFEE # 1 BRECON,PAYMENT,8,-5.2
197,COLAIRO&#039;S,PAYMENT,6,-1.7
198,COLE ADOLPHY LIMIT,PAYMENT,2,-17.7
199,COLE ADOLPHY LIMIT,PAYMENT,8,-8.15
200,COOL MILK AT SCHOO,PAYMENT,7,-15.62
201,COSTA @ NEXT 43040,PAYMENT,3,-22.45
202,COSTA @ NEXT 43040,PAYMENT,4,-20.09
203,COSTA @ NEXT 43040,PAYMENT,5,-2.75
204,COSTA @ NEXT 43040,PAYMENT,6,-8.2
205,COSTA @ NEXT 43040,PAYMENT,7,-6.25
206,COSTA COFFEE,PAYMENT,1,-69.48
207,COSTA COFFEE,PAYMENT,2,-26.64
208,COSTA COFFEE,PAYMENT,3,-42.300000000000004
209,COSTA COFFEE,PAYMENT,4,-35.75
210,COSTA COFFEE,PAYMENT,5,-33.04
211,COSTA COFFEE,PAYMENT,6,-42.0
212,COSTA COFFEE,PAYMENT,7,-50.190000000000005
213,COSTA COFFEE,PAYMENT,8,-12.2
214,COSTA COFFEE,PAYMENT,9,-9.9
215,COSTA COFFEE 43034,PAYMENT,7,-4.1
216,COSTA COFFEE 43044,PAYMENT,8,-10.7
217,COTE BRASSERIE - R,PAYMENT,2,-31.89
218,COTE BRASSERIE - R,PAYMENT,5,-69.92
219,COTSWOLD FARM PARK,PAYMENT,4,-30.9
220,COUGHLANS BAKERY R,PAYMENT,7,-5.1
221,COWPIE COUNTRY SHO,PAYMENT,5,-32.0
222,CURRYS,PAYMENT,3,-11.99
223,CYCLESCHEME,PAYMENT,7,-70.0
224,Cassidys              IRELAND,PAYMENT,3,-31.09
225,County Mall Car Pa,PAYMENT,9,-2.5
226,Crawley Borough Co,PAYMENT,4,-1.1
227,Crawley Borough Co,PAYMENT,6,-3.3
228,DAYLEWIS REIGATE,PAYMENT,1,-11.54
229,DDC REIGATE,PAYMENT,7,-168.02000000000004
230,DECATHLON UK VAD,PAYMENT,6,-43.94
231,DEEP BLUE RESTAURA,PAYMENT,5,-13.19
232,DELICE DE FRANCE,PAYMENT,3,-5.77
233,DELIVEROO.CO.UK,PAYMENT,6,-29.79
234,DEXTERS BARBER SHO,PAYMENT,3,-18.0
235,DEXTERS BARBER SHO,PAYMENT,4,-18.0
236,DISH,PAYMENT,2,-40.4
237,DIWALI RESTAURANT     IRELAND,PAYMENT,6,-42.07
238,DNH,PAYMENT,4,-82.9
239,DORKING HALLS,PAYMENT,7,-2.75
240,DPT OF COFFEE &amp; SO,PAYMENT,4,-6.9
241,DRUSILLAS ZOO,PAYMENT,4,-71.35
242,DT LONDON CITY,PAYMENT,6,-8.96
243,EAST SURREY HOSPIT,PAYMENT,8,-9.0
244,EAST SURREY HOSPIT,PAYMENT,9,-24.0
245,EASYJET EX2VWHV,PAYMENT,7,-20.99
246,EAT,PAYMENT,1,-19.71
247,EAT,PAYMENT,2,-16.96
248,EAT,PAYMENT,3,-21.450000000000003
249,EAT,PAYMENT,5,-6.98
250,EAT,PAYMENT,6,-6.98
251,EAT,PAYMENT,7,-24.68
252,EAT,PAYMENT,8,-2.1
253,EB,PAYMENT,5,-71.52
254,EDINBURGH WAVERLEY,PAYMENT,8,-15.0
255,EVEREST SPICE,PAYMENT,2,-23.6
256,EVEREST SPICE,PAYMENT,3,-25.4
257,EVEREST SPICE,PAYMENT,4,-25.35
258,EVEREST SPICE,PAYMENT,5,-61.0
259,EVEREST SPICE,PAYMENT,6,-32.75
260,EVEREST SPICE,PAYMENT,7,-44.65
261,EXPERIENCE DAYS,PAYMENT,5,-83.95
262,Eagle SA Suisse       SWITZERLAND,PAYMENT,1,-28.5
263,FACEBK,PAYMENT,7,-10.0
264,FALCON,PAYMENT,4,-13.65
265,FALCON,PAYMENT,6,-10.15
266,FAME OF SURREY,PAYMENT,3,-13.0
267,FAST FOODS LDN,PAYMENT,3,-5.9
268,FINCH AND SON,PAYMENT,5,-24.99
269,FIRST UTILITY         2006274            BBP,PAYMENT,1,-93.11
270,FLINT OWL BAKERY,PAYMENT,1,-4.6
271,FLORIOGRAPHY BY VE,PAYMENT,7,-7.5
272,FLUTE LESSONS         MT15043377         BBP,PAYMENT,5,-187.0
273,FORTNUM &amp; MASON,PAYMENT,8,-25.99
274,FREEDOM LEISURE,PAYMENT,8,-34.2
275,FRINGE SOCIETY,PAYMENT,7,-3.85
276,GAILS - FARHAM,PAYMENT,4,-20.7
277,GAK ACCOUSTIC,PAYMENT,6,-80.0
278,GAYTON VETERINARY,PAYMENT,4,-73.09
279,GAYTON VETERINARY,PAYMENT,9,-62.19
280,GLL HORLEY ANDERSO,PAYMENT,5,-24.35
281,GLL HORLEY ANDERSO,PAYMENT,6,-4.35
282,GLOBALLS.CO.UK,PAYMENT,6,-11.0
283,GLOUCESTER QUAYS P,PAYMENT,4,-4.4
284,GLOUCESTER SNORTH,PAYMENT,4,-11.4
285,GODADDY COM EUROPE,PAYMENT,4,-21.46
286,GODSTONE FARM LIMI,PAYMENT,2,-66.75
287,GOED GEMERKT B.V.     NETHERLANDS,PAYMENT,8,-14.9
288,GOOGLE,PAYMENT,1,-9.58
289,GOOGLE,PAYMENT,2,-9.58
290,GOOGLE,PAYMENT,3,-9.58
291,GOOGLE,PAYMENT,4,-9.58
292,GOOGLE,PAYMENT,5,-9.58
293,GOOGLE,PAYMENT,6,-13.57
294,GOOGLE,PAYMENT,7,-17.95
295,GOOGLE,PAYMENT,9,-1.59
296,GOOGLE Google Stor,PAYMENT,8,-7.99
297,GREENSLEEVES,PAYMENT,4,-17.98
298,GREENSLEEVES,PAYMENT,7,-7.5
299,H &amp; M,PAYMENT,3,-44.02
300,H &amp; M,PAYMENT,4,-12.03
301,H &amp; M,PAYMENT,6,-27.96
302,H&amp;M,PAYMENT,1,-43.02
303,HALFORDS 0725,PAYMENT,3,-119.0
304,HAM YARD HOTEL,PAYMENT,3,-50.0
305,HARDWICKE SF CONNE,PAYMENT,7,-25.07
306,HARLEQUIN THEATRE,PAYMENT,5,-50.5
307,HARLEQUIN THEATRE,PAYMENT,6,-6.0
308,HARRIS AND HOOLE H,PAYMENT,3,-9.7
309,HARRIS AND HOOLE H,PAYMENT,7,-3.4
310,HAWKINS BAZAAR BRI,PAYMENT,7,-4.5
311,HAY,PAYMENT,8,-13.0
312,HEMA,PAYMENT,4,-14.25
313,HICKEYS PHARMACY G    IRELAND,PAYMENT,6,-1.14
314,HILLIER NURSERIES,PAYMENT,7,-13.75
315,HMRC SELF ASSESSME    4628778700K        BBP,PAYMENT,2,-900.0
316,HMSHOST IRELAND LT    IRELAND,PAYMENT,6,-2.7
317,HN &amp; WM,PAYMENT,4,-4.17
318,HN &amp; WM,PAYMENT,7,-4.8
319,HOBBS OF HURST,PAYMENT,6,-10.85
320,HOBBYCRAFT,PAYMENT,3,-28.5
321,HOBBYCRAFT,PAYMENT,4,-5.8
322,HOBBYCRAFT,PAYMENT,5,-9.5
323,HOBBYCRAFT,PAYMENT,9,-2.5
324,HOLBORNS,PAYMENT,3,-3.98
325,HOLBORNS,PAYMENT,4,-8.05
326,HOLLAND &amp; BARRETT,PAYMENT,1,-4.29
327,HOLLAND &amp; BARRETT,PAYMENT,4,-7.99
328,HOLLAND &amp; BARRETT,PAYMENT,8,-24.67
329,HOMEBASE,PAYMENT,1,-97.13
330,HOMEBASE,PAYMENT,3,-85.03
331,HOMEBASE,PAYMENT,4,-371.19
332,HOMEBASE,PAYMENT,5,-53.47
333,HOMEBASE,PAYMENT,6,-12.0
334,HOMEBASE,PAYMENT,7,-151.29999999999998
335,HOMEBASE,PAYMENT,8,-142.64
336,HOMEBASE,PAYMENT,9,-45.980000000000004
337,HOMESENSE,PAYMENT,4,-76.94
338,HONESTY@BUCKLEBURY,PAYMENT,8,-16.25
339,HORIZON PARKING LT,PAYMENT,4,-9.0
340,HORIZON PARKING LT,PAYMENT,5,-6.0
341,HUDSONST1711          USA,PAYMENT,2,-42.7
342,HUGHENDEN MANOR,PAYMENT,2,-9.25
343,Hoggies bar &amp; bist,PAYMENT,4,-19.1
344,IKEA,PAYMENT,2,-196.2
345,IKEA,PAYMENT,3,-259.95
346,IKEA,PAYMENT,6,-74.95
347,IKEA,PAYMENT,9,-78.55
348,INDIGO UK-GTR,PAYMENT,1,-28.35
349,INDIGO UK-GTR,PAYMENT,2,-14.3
350,INDIGO UK-GTR,PAYMENT,3,-21.450000000000003
351,INDIGO UK-GTR,PAYMENT,4,-7.15
352,INSIDE OUT HEALTH,PAYMENT,1,-37.95
353,INSIDE OUT HEALTH,PAYMENT,2,-122.53
354,INSIDE OUT HEALTH,PAYMENT,4,-5.99
355,INTERFLORA BRITISH,PAYMENT,4,-47.0
356,ITSU 027 CHEAPSIDE,PAYMENT,8,-11.99
357,ITUNES.COM,PAYMENT,1,-9.780000000000001
358,ITUNES.COM,PAYMENT,2,-0.79
359,ITUNES.COM,PAYMENT,3,-9.780000000000001
360,ITUNES.COM,PAYMENT,4,-9.780000000000001
361,ITUNES.COM,PAYMENT,5,-9.780000000000001
362,ITUNES.COM,PAYMENT,6,-9.780000000000001
363,ITUNES.COM,PAYMENT,7,-9.780000000000001
364,ITUNES.COM,PAYMENT,8,-9.780000000000001
365,ITUNES.COM,PAYMENT,9,-9.780000000000001
366,IZ,PAYMENT,1,-17.3
367,IZ,PAYMENT,2,-26.980000000000004
368,IZ,PAYMENT,3,-20.98
369,IZ,PAYMENT,5,-10.49
370,IZ,PAYMENT,6,-9.99
371,IZ,PAYMENT,7,-7.99
372,IZ,PAYMENT,8,-17.6
373,JET AGE MUSEUMI,PAYMENT,4,-4.7
374,JOHN LEWIS,PAYMENT,3,-4.5
375,JOHN LEWIS,PAYMENT,4,-8.5
376,JOHN LEWIS,PAYMENT,5,-200.0
377,JOHN LEWIS,PAYMENT,6,-5.5
378,JOHN LEWIS,PAYMENT,7,-200.0
379,JOHN LEWIS,PAYMENT,8,-250.0
380,JOHN LEWIS,PAYMENT,9,-250.0
381,Jungle Rumble (Bri,PAYMENT,7,-26.0
382,K2 CRAWLEY,PAYMENT,4,-11.4
383,KEVIN WINDOWS         11 DEVON CRESCENT  BBP,PAYMENT,5,-54.0
384,KINROSS MWSA,PAYMENT,8,-79.62
385,Kindle Svcs,PAYMENT,1,-29.910000000000004
386,Kindle Svcs,PAYMENT,7,-11.99
387,L&#039;OCCITANE,PAYMENT,2,-59.0
388,LA CLOCHE PUB,PAYMENT,4,-21.0
389,LA REDOUTE,PAYMENT,4,-81.75
390,LANDMARK FOREST AD,PAYMENT,8,-112.02
391,LEGO STORE,PAYMENT,9,-9.04
392,LEIGH DELAMERE N,PAYMENT,8,-5.98
393,LEIGH DELAMERE S,PAYMENT,7,-6.28
394,LEON CANNON ST,PAYMENT,5,-5.95
395,LEON LONDON BRIDGE,PAYMENT,1,-6.95
396,LEVY RESTAURANTS U,PAYMENT,1,-10.35
397,LEWES ANTIQUE CTR,PAYMENT,1,-35.0
398,LEWES PARKING,PAYMENT,1,-1.9
399,LOCAL HERO KINGSTO,PAYMENT,4,-12.1
400,LOCH NESS CTRE &amp; E,PAYMENT,8,-23.95
401,LONDIS,PAYMENT,4,-7.26
402,LONDIS,PAYMENT,7,-4.82
403,LONDON CITY AIRPOR,PAYMENT,7,-2.0
404,LUCK FOUNTAIN,PAYMENT,5,-78.87
405,LUMINIS REIGATE,PAYMENT,2,-22.5
406,Lush UK,PAYMENT,2,-16.95
407,M &amp; M &#039;S WORLD. LO,PAYMENT,9,-1.44
408,M WILSON              SPOT OF CAMPING    BBP,PAYMENT,5,-92.5
409,M&amp;S SIMPLY FOOD,PAYMENT,4,-22.65
410,M&amp;S SIMPLY FOOD,PAYMENT,5,-20.05
411,M&amp;S SIMPLY FOOD,PAYMENT,7,-3.1
412,M&amp;S SIMPLY FOOD,PAYMENT,8,-7.6
413,M&amp;S SIMPLY FOOD -,PAYMENT,1,-44.400000000000006
414,M&amp;S SIMPLY FOOD -,PAYMENT,2,-8.6
415,M&amp;S SIMPLY FOOD -,PAYMENT,4,-23.7
416,M&amp;S SIMPLY FOOD -,PAYMENT,5,-17.2
417,M&amp;S SIMPLY FOOD -,PAYMENT,7,-3.8
418,M&amp;S SIMPLY FOOD -,PAYMENT,8,-18.950000000000003
419,M&amp;S SIMPLY FOOD -,PAYMENT,9,-2.95
420,MARKET,PAYMENT,7,-7.95
421,MARKS&amp;SPENCER,PAYMENT,1,-92.05
422,MARKS&amp;SPENCER,PAYMENT,2,-83.77
423,MARKS&amp;SPENCER,PAYMENT,3,-3.0
424,MARKS&amp;SPENCER,PAYMENT,4,-57.699999999999996
425,MARKS&amp;SPENCER,PAYMENT,5,-96.53999999999999
426,MARKS&amp;SPENCER,PAYMENT,6,-24.0
427,MARKS&amp;SPENCER,PAYMENT,7,-30.2
428,MARKS&amp;SPENCER,PAYMENT,8,-98.0
429,MARKS&amp;SPENCER,PAYMENT,9,-5.35
430,MARTIN MCCOLL,PAYMENT,1,-8.25
431,MARTIN MCCOLL,PAYMENT,2,-4.2
432,MARTIN MCCOLL,PAYMENT,6,-3.7
433,MARTIN MCCOLL,PAYMENT,7,-2.88
434,MCDONALDS,PAYMENT,1,-11.44
435,MCDONALDS,PAYMENT,2,-8.77
436,MCDONALDS,PAYMENT,5,-6.05
437,MCDONALDS,PAYMENT,6,-35.31
438,MCDONALDS,PAYMENT,7,-14.87
439,MCDONALDS,PAYMENT,8,-5.37
440,MCDONALDS 197,PAYMENT,6,-14.419999999999998
441,METRO NEWS,PAYMENT,3,-3.99
442,MFG GATTON POINT,PAYMENT,6,-39.71
443,MILK&amp;MORE,PAYMENT,1,-11.4
444,MILK&amp;MORE,PAYMENT,2,-11.4
445,MILK&amp;MORE,PAYMENT,3,-11.4
446,MILK&amp;MORE,PAYMENT,4,-14.25
447,MILK&amp;MORE,PAYMENT,5,-9.5
448,MILK&amp;MORE,PAYMENT,6,-13.299999999999999
449,MILK&amp;MORE,PAYMENT,7,-11.4
450,MILK&amp;MORE,PAYMENT,8,-14.25
451,MILK&amp;MORE,PAYMENT,9,-6.09
452,MKP TRANSPORT         INV 1389           BBP,PAYMENT,5,-312.0
453,MONKEY BUSINESS,PAYMENT,3,-17.79
454,MONMOUTH COFFEE,PAYMENT,7,-6.2
455,MORLEY AUTO SERVIC,PAYMENT,7,-288.56
456,MORTONS               IRELAND,PAYMENT,1,-7.47
457,MOTO READING WT,PAYMENT,4,-5.98
458,MOUNTAIN WAREHOUSE,PAYMENT,1,-29.74
459,MOUNTAIN WAREHOUSE,PAYMENT,7,-61.93
460,MOUNTAIN WAREHOUSE,PAYMENT,8,-124.93
461,MR NIGEL ROBERTSON,PAYMENT,7,-6.5
462,MRS LUCY DAVIES       4929150563141004   BBP,PAYMENT,1,-216.91
463,MRS LUCY DAVIES       4929150563141004   BBP,PAYMENT,2,-212.03
464,MRS LUCY DAVIES       4929150563141004   BBP,PAYMENT,3,-207.26
465,MRS LUCY DAVIES       4929150563141004   BBP,PAYMENT,4,-202.59
466,MRS LUCY DAVIES       4929150563141004   BBP,PAYMENT,5,-200.0
467,MRS LUCY DAVIES       4929150563141004   BBP,PAYMENT,6,-200.0
468,MRS LUCY DAVIES       4929150563141004   BBP,PAYMENT,7,-200.0
469,MRS LUCY DAVIES       4929150563141004   BBP,PAYMENT,8,-201.78
470,MRS LUCY DAVIES       4929150563141004   BBP,PAYMENT,9,-200.0
471,MUFFIN BREAK REDHI,PAYMENT,5,-2.1
472,MUFFIN BREAK REDHI,PAYMENT,7,-2.1
473,MUSEUM OF CHILDHOO,PAYMENT,1,-14.4
474,Metrobus,PAYMENT,9,-2.5
475,N H CATERING,PAYMENT,4,-465.0
476,NANDOS,PAYMENT,7,-34.2
477,NANDOS GLSTR QUAY,PAYMENT,4,-37.25
478,NANDOS REIGATE,PAYMENT,4,-9.7
479,NAT MUSEUM OF CHIL,PAYMENT,1,-7.5
480,NATIONAL TRUST,PAYMENT,1,-25.7
481,NATIONAL TRUST,PAYMENT,4,-7.0
482,NATIONAL TYRE SERV,PAYMENT,4,-59.5
483,NCP,PAYMENT,6,-12.0
484,NEW GURKHA KITCHEN,PAYMENT,3,-65.66
485,NEW SOUTHERN RAILW,PAYMENT,1,-84.75
486,NEW SOUTHERN RAILW,PAYMENT,2,-71.69999999999999
487,NEW SOUTHERN RAILW,PAYMENT,3,-54.9
488,NEW SOUTHERN RAILW,PAYMENT,4,-33.2
489,NEW SOUTHERN RAILW,PAYMENT,5,-88.1
490,NEW SOUTHERN RAILW,PAYMENT,6,-264.79999999999995
491,NEW SOUTHERN RAILW,PAYMENT,7,-2868.3
492,NEW SOUTHERN RAILW,PAYMENT,8,-42.0
493,NEW SOUTHERN RAILW,PAYMENT,9,-15.8
494,NEXT DIRECTORY,PAYMENT,1,-20.0
495,NEXT DIRECTORY,PAYMENT,2,-20.0
496,NEXT DIRECTORY,PAYMENT,4,-50.0
497,NEXT DIRECTORY,PAYMENT,5,-20.0
