,rss,intercept,coef_x_1,coef_x_2,coef_x_3,coef_x_4,coef_x_5,coef_x_6,coef_x_7,coef_x_8,coef_x_9
model_pow_1,,,,,,,,,,,
model_pow_2,4.564580039011681,1.0696221509250163,-0.1174500375500585,-0.06682121204143755,,,,,,,
model_pow_3,1.2273580513237574,-0.40112538292651534,2.1911706605948518,-1.0062840245471973,0.1092541319971411,,,,,,
model_pow_4,1.1411971561087884,-0.11100384590259968,1.5341621335131281,-0.5531269924097632,-0.01036694871410351,0.010622070689811514,,,,,
model_pow_5,1.1401956746173674,0.08299758808329874,1.2124231416090727,-0.43322239538259966,0.0,0.0,0.0012028429957758127,,,,
model_pow_6,1.1844861779696227,0.2112728953225589,1.0045169556296218,-0.358094256449478,0.0,0.0,0.0,0.00017876092988538284,,,
model_pow_7,1.1902773380456368,-0.22132360368231893,1.623116847371491,-0.55054517202531,0.0,0.0,0.0,0.0008774141978000892,-0.00011215333563154635,,
model_pow_8,6.932149293812226,0.7887066276487691,-0.05614886495954634,-0.056350119640612505,0.0,0.0,0.0,0.0,0.0,0.0,
model_pow_9,6.9321492938122296,0.788706627648769,-0.05614886495954632,-0.0563501196406125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
