,rss,intercept,coef_x_1,coef_x_2,coef_x_3,coef_x_4,coef_x_5,coef_x_6,coef_x_7,coef_x_8,coef_x_9
model_pow_1,,,,,,,,,,,
model_pow_2,4.53553210583207,1.104374904708117,-0.12503375714236614,-0.06811661676596792,,,,,,,
model_pow_3,1.2273580513237574,-0.40112538292651534,2.1911706605948518,-1.0062840245471973,0.1092541319971411,,,,,,
model_pow_4,1.1390245814857902,-0.0949695573801683,1.4962370089611776,-0.5261287391162931,-0.017649742398496402,0.011278663378207536,,,,,
model_pow_5,1.4886553849545188,-1.5697726605694498,5.589275839738689,-4.366602395408505,1.5663197014257584,-0.2846010860584442,0.020460785096490693,,,,
model_pow_6,183.3716236690026,-77.52555630126848,264.5273011139517,-323.50436724972246,188.24684812176096,-56.17586988731445,8.285708413249843,-0.47813616958629945,,,
model_pow_7,3741422.14077814,20610.353298863178,-83281.08975479871,127519.88249496886,-97540.52755308745,40938.55316463625,-9566.429502590488,1166.250227233047,-57.77274446255753,,
model_pow_8,95294980.51320034,-196326.1828392262,916250.8071788399,-1680658.4895962232,1600548.6998259437,-876483.0806923117,285933.02908857993,-54816.67889243662,5694.4608005670125,-247.15047966850787,
model_pow_9,209813453753.64246,16721249.59954666,-89056559.44876711,191803605.00538322,-220881800.36995322,151267008.37545025,-64476086.76459354,17250102.177590348,-2814185.487845146,255657.50635962133,-9907.784569399433
