,rss,intercept,coef_x_1,coef_x_2,coef_x_3,coef_x_4,coef_x_5,coef_x_6,coef_x_7,coef_x_8,coef_x_9
model_pow_1,,,,,,,,,,,
model_pow_2,4.931429979194904,0.8722547460085783,-0.0,-0.08060527823984913,,,,,,,
model_pow_3,7.014791630862342,0.7138724112213114,-0.0,-0.0,-0.01650969730192086,,,,,,
model_pow_4,3.5652971823238824,0.8733814735122829,-0.0,-0.0,-0.04288377895767661,0.005334068847746463,,,,,
model_pow_5,1.781924572018083,0.8959014228993873,-0.0,-0.0,-0.0,-0.01906066328004652,0.003213645951757887,,,,
model_pow_6,1.7031668369248274,0.8835732121948421,0.0,-0.0,-0.0,-0.011925409662357512,-0.00021727714548812037,0.00040390867865046224,,,
model_pow_7,1.769334860024146,0.8685912145768222,-0.0,-0.0,-0.0,-0.009961315147313882,-0.0004306860381784711,0.00020882018273513862,3.2077146536247225e-05,,
model_pow_8,1.7832580834587448,0.8660805590167105,-0.0,-0.0,-0.0,-0.010142299923212148,-0.0002456341291114808,0.00017898133141178683,2.7570313064205617e-05,9.036993930710069e-07,
model_pow_9,1.7282115068018353,0.8739484651452969,-0.0,-0.0,-0.0,-0.010913506920709469,-0.0001415933993195903,0.00019679395289077568,3.0919116940444544e-05,1.496896834685187e-06,-3.1876595339935425e-07
