,rss,intercept,coef_x_1,coef_x_2,coef_x_3,coef_x_4,coef_x_5,coef_x_6,coef_x_7,coef_x_8,coef_x_9
model_pow_1,,,,,,,,,,,
model_pow_2,39.28636063189197,0.06050704770164697,0.0,0.0,,,,,,,
model_pow_3,39.28636063189197,0.06050704770164697,0.0,0.0,0.0,,,,,,
model_pow_4,39.28636063189197,0.06050704770164697,0.0,0.0,0.0,0.0,,,,,
model_pow_5,39.28636063189197,0.06050704770164697,0.0,0.0,0.0,0.0,0.0,,,,
model_pow_6,39.28636063189197,0.06050704770164697,0.0,0.0,0.0,0.0,0.0,0.0,,,
model_pow_7,39.28636063189197,0.06050704770164697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
model_pow_8,39.28636063189197,0.06050704770164697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
model_pow_9,39.28636063189197,0.06050704770164697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
