,rss,intercept,coef_x_1,coef_x_2,coef_x_3,coef_x_4,coef_x_5,coef_x_6,coef_x_7,coef_x_8,coef_x_9
model_pow_1,,,,,,,,,,,
model_pow_2,56.8118146780097,[0.3805738],0.7262419001093067,-0.29134916588774945,,,,,,,
model_pow_3,412.4057225335287,[0.3468917],0.4597837082385497,0.18192951251578537,-0.11641763627237939,,,,,,
model_pow_4,831.186154719517,[0.27396145],0.4606956135975794,0.2506176544361086,-0.16745212454126915,0.0038029848399219746,,,,,
model_pow_5,85.14062197876045,[0.3190309],0.3356694781732356,0.2347378333029104,0.059919408967776186,-0.12192265829566223,0.018797105978621845,,,,
model_pow_6,307904.83269182727,[0.43241634],0.34786482022816567,0.23025842039635402,0.10317505443039066,-0.011580874670732615,-0.07192716613006093,0.024943288342024625,,,
model_pow_7,211454472.52206177,[0.24017114],0.2148518126106121,0.1577713584401123,0.0872896394852963,0.014503818886759137,-0.04825529021270214,-0.07814551365135655,-0.042662846312803475,,
model_pow_8,674031.5864384085,[0.35613477],0.30835356911942063,0.210528862250985,0.11022824426841278,0.027005299409736207,-0.02930774949063413,-0.04931526207762619,-0.025339516985035317,0.007662807657824307,
model_pow_9,561453.8960347789,[0.38878309],0.2803584141673814,0.17697368360516139,0.09073310852780372,0.024983217094514686,-0.019493922626219524,-0.04014988221400687,-0.03024543291952341,0.011779307350185777,-0.000694563538959509
